Grid,Iteration,Residual,CumulativeTime
32,1,3.205081,0.001258122
32,2,3.622893,0.002400708
32,3,3.00021,0.003530401
32,4,2.254851,0.004678676
32,5,1.677096,0.005866632
32,6,1.267809,0.007058526
32,7,0.9789209,0.008175951
32,8,0.7704542,0.00937185
32,9,0.6156097,0.01054982
32,10,0.4973516,0.01167812
32,11,0.4077769,0.01282684
32,12,0.3878568,0.01394913
32,13,0.3761556,0.01507235
32,14,0.2622722,0.01624761
32,15,0.2705058,0.01737104
32,16,0.2060127,0.01849744
32,17,0.1026705,0.01964043
32,18,0.03590722,0.02076162
32,19,0.005192955,0.0218855
32,20,0.0004592636,0.02302479
32,21,4.484256e-05,0.02417973
32,22,4.855529e-06,0.0252993
32,23,5.982121e-07,0.02653445
64,1,5.051374,0.01893138
64,2,6.753792,0.03758869
64,3,6.468322,0.05624946
64,4,5.336065,0.07481141
64,5,4.187271,0.09338399
64,6,3.268057,0.1118642
64,7,2.579646,0.1303927
64,8,2.069605,0.148924
64,9,1.688268,0.167512
64,10,1.398798,0.1861555
64,11,1.179819,0.2046452
64,12,1.09857,0.2232085
64,13,1.219877,0.2417435
64,14,0.8571555,0.2602205
64,15,0.8664282,0.2787917
64,16,0.8079522,0.2973473
64,17,0.6431136,0.3158623
64,18,0.7219114,0.3344034
64,19,0.5466973,0.3529065
64,20,0.5571394,0.3714266
64,21,0.5009932,0.3899298
64,22,0.4356353,0.4084684
64,23,0.4585392,0.4269904
64,24,0.3629468,0.4455734
64,25,0.3939901,0.46459
64,26,0.3176426,0.4830889
64,27,0.3230937,0.5016869
64,28,0.2860798,0.5202834
64,29,0.2642943,0.5387635
64,30,0.2586466,0.5572472
64,31,0.2205536,0.5760071
64,32,0.2293569,0.5950147
64,33,0.1881609,0.6135274
64,34,0.1975543,0.6320189
64,35,0.1631892,0.6504598
64,36,0.16593,0.6692615
64,37,0.1413544,0.6878304
64,38,0.1282913,0.7063194
64,39,0.09489462,0.7247855
64,40,0.05105808,0.7432537
64,41,0.02177725,0.7618641
64,42,0.006885511,0.7803377
64,43,0.001729811,0.7987963
64,44,0.0005047886,0.817267
64,45,9.291897e-05,0.8358358
64,46,1.825012e-05,0.854374
64,47,4.447524e-06,0.8728554
64,48,8.13627e-07,0.8913185
128,1,7.554422,0.3015587
128,2,11.32039,0.6136443
128,3,12.46154,0.913644
128,4,11.57845,1.21358
128,5,9.873415,1.513279
128,6,8.131925,1.812055
128,7,6.644025,2.112405
128,8,5.452087,2.413918
128,9,4.51648,2.713839
128,10,3.78342,3.014405
128,11,3.211515,3.314448
128,12,2.891778,3.613403
128,13,3.3647,3.913023
128,14,2.422537,4.21197
128,15,2.2513,4.512261
128,16,2.383088,4.812105
128,17,1.7799,5.111915
128,18,1.967137,5.412504
128,19,1.603105,5.71196
128,20,1.494622,6.012632
128,21,1.518659,6.314462
128,22,1.223333,6.619415
128,23,1.35731,6.920021
128,24,1.07598,7.219103
128,25,1.131052,7.519679
128,26,0.991823,7.818727
128,27,0.9361564,8.118884
128,28,0.9286807,8.419665
128,29,0.7990924,8.71855
128,30,0.8546695,9.017585
128,31,0.7065766,9.317118
128,32,0.7630501,9.615358
128,33,0.6429004,9.914739
128,34,0.6676722,10.21375
128,35,0.5964875,10.51388
128,36,0.5827661,10.81455
128,37,0.5583975,11.1159
128,38,0.5137426,11.42068
128,39,0.5219354,11.73298
128,40,0.4597006,12.0389
128,41,0.4835417,12.33949
128,42,0.4175967,12.63775
128,43,0.443016,12.93669
128,44,0.3843385,13.23756
128,45,0.402291,13.53763
128,46,0.3573364,13.83616
128,47,0.3636924,14.1376
128,48,0.3345001,14.43852
128,49,0.3288223,14.73828
128,50,0.3141701,15.03848
128,51,0.2983141,15.33839
128,52,0.2951118,15.63719
128,53,0.2720802,15.93774
128,54,0.2765399,16.23785
128,55,0.249651,16.53791
128,56,0.2581062,16.83764
128,57,0.2304248,17.13756
128,58,0.2398165,17.43771
128,59,0.213803,17.73704
128,60,0.2218963,18.03771
128,61,0.199247,18.33865
128,62,0.2046489,18.63736
128,63,0.1862945,18.93695
128,64,0.1883483,19.23766
128,65,0.1745593,19.53688
128,66,0.1731818,19.83706
128,67,0.1637277,20.13742
128,68,0.1592373,20.43832
128,69,0.1535553,20.73799
128,70,0.1465165,21.03816
128,71,0.1438631,21.33866
128,72,0.1349597,21.73056
128,73,0.1345321,22.05783
128,74,0.1244706,22.35792
128,75,0.1254958,22.65654
128,76,0.1149354,22.9558
128,77,0.116729,23.25545
128,78,0.1062317,23.55392
128,79,0.1082017,23.85382
128,80,0.09807054,24.15454
128,81,0.09913036,24.45571
128,82,0.08774359,24.75551
128,83,0.08231848,25.05549
128,84,0.06270091,25.35576
128,85,0.04505794,25.65419
128,86,0.0246744,25.95324
128,87,0.0127641,26.25314
128,88,0.005172342,26.55305
128,89,0.00216842,26.85252
128,90,0.0007153614,27.15338
128,91,0.0002545028,27.45289
128,92,7.674146e-05,27.7516
128,93,2.212024e-05,28.05236
128,94,6.710424e-06,28.35244
128,95,1.658466e-06,28.6517
128,96,4.813223e-07,28.9519
